iter	Passed	Remaining
401	16442	24459
402	16480	24414
403	16522	24374
404	16566	24337
405	16609	24300
406	16652	24263
407	16694	24222
408	16732	24178
409	16772	24136
410	16809	24090
411	16850	24048
412	16890	24006
413	16930	23964
414	16971	23924
415	17010	23879
416	17050	23838
417	17091	23797
418	17129	23752
419	17166	23706
420	17213	23672
421	17252	23630
422	17296	23593
423	17333	23547
424	17374	23506
425	17412	23462
426	17448	23414
427	17483	23366
428	17523	23324
429	17561	23279
430	17602	23238
431	17640	23194
432	17682	23154
433	17724	23115
434	17764	23073
435	17804	23031
436	17844	22989
437	17884	22947
438	17924	22906
439	17967	22867
440	18010	22829
441	18050	22787
442	18091	22747
443	18130	22704
444	18169	22660
445	18216	22627
446	18260	22590
447	18298	22545
448	18338	22504
449	18373	22456
450	18415	22416
451	18455	22374
452	18499	22337
453	18536	22293
454	18579	22254
455	18622	22215
456	18664	22176
457	18704	22134
458	18744	22093
459	18782	22049
460	18820	22004
461	18860	21962
462	18901	21922
463	18940	21879
464	18981	21839
465	19020	21796
466	19060	21754
467	19098	21710
468	19137	21667
469	19183	21632
470	19224	21591
471	19265	21550
472	19304	21508
473	19348	21471
474	19386	21427
475	19427	21386
476	19467	21345
477	19513	21309
478	19550	21265
479	19591	21224
480	19631	21182
481	19672	21141
482	19710	21098
483	19750	21056
484	19791	21015
485	19834	20976
486	19872	20933
487	19911	20890
488	19951	20848
489	19989	20805
490	20029	20763
491	20068	20720
492	20106	20677
493	20147	20636
494	20197	20605
495	20238	20564
496	20277	20522
497	20316	20480
498	20358	20440
499	20398	20398
500	20437	20356
501	20478	20315
502	20518	20273
503	20558	20231
504	20597	20189
505	20637	20148
506	20677	20106
507	20717	20064
508	20757	20023
509	20797	19981
510	20837	19940
511	20875	19896
512	20914	19854
513	20956	19814
514	20996	19773
515	21039	19734
516	21077	19690
517	21119	19651
518	21170	19620
519	21209	19577
520	21251	19538
521	21289	19495
522	21329	19453
523	21366	19409
524	21407	19368
525	21445	19325
526	21485	19284
527	21525	19242
528	21565	19201
529	21603	19157
530	21646	19118
531	21686	19077
532	21727	19037
533	21767	18995
534	21805	18952
535	21846	18911
536	21885	18870
537	21928	18830
538	21967	18788
539	22006	18745
540	22042	18701
541	22080	18658
542	22121	18617
543	22168	18582
544	22211	18543
545	22249	18500
546	22289	18459
547	22327	18416
548	22364	18372
549	22404	18331
550	22444	18289
551	22483	18247
552	22523	18205
553	22564	18165
554	22601	18122
555	22642	18081
556	22682	18039
557	22720	17997
558	22758	17954
559	22800	17914
560	22837	17870
561	22874	17827
562	22919	17790
563	22960	17749
564	23001	17709
565	23045	17670
566	23081	17626
567	23122	17586
568	23169	17549
569	23208	17508
570	23248	17466
571	23290	17426
572	23329	17385
573	23367	17342
574	23403	17298
575	23444	17257
576	23484	17216
577	23523	17174
578	23566	17135
579	23603	17091
580	23641	17049
581	23683	17010
582	23724	16969
583	23765	16929
584	23806	16888
585	23843	16845
586	23887	16806
587	23930	16767
588	23971	16727
589	24010	16685
590	24049	16643
591	24087	16600
592	24124	16557
593	24168	16519
594	24210	16479
595	24249	16437
596	24289	16396
597	24330	16356
598	24369	16314
599	24409	16273
600	24450	16232
601	24493	16193
602	24532	16151
603	24572	16110
604	24614	16070
605	24657	16031
606	24696	15989
607	24735	15947
608	24774	15906
609	24811	15862
610	24849	15820
611	24888	15778
612	24936	15742
613	24976	15702
614	25015	15659
615	25051	15616
616	25091	15575
617	25127	15531
618	25174	15494
619	25215	15454
620	25256	15413
621	25293	15371
622	25333	15330
623	25373	15289
624	25411	15246
625	25453	15206
626	25494	15166
627	25532	15124
628	25577	15086
629	25615	15044
630	25653	15001
631	25692	14960
632	25732	14919
633	25768	14875
634	25805	14833
635	25843	14790
636	25886	14751
637	25927	14711
638	25968	14670
639	26009	14630
640	26048	14588
641	26088	14547
642	26125	14505
643	26171	14467
644	26213	14427
645	26255	14387
646	26297	14347
647	26337	14307
648	26378	14266
649	26419	14225
650	26461	14185
651	26498	14143
652	26536	14101
653	26580	14062
654	26623	14022
655	26661	13981
656	26707	13943
657	26751	13904
658	26789	13862
659	26828	13820
660	26867	13779
661	26911	13740
662	26948	13697
663	26987	13656
664	27026	13614
665	27066	13573
666	27105	13532
667	27156	13496
668	27195	13455
669	27235	13414
670	27275	13373
671	27316	13333
672	27358	13292
673	27398	13252
674	27438	13210
675	27477	13169
676	27517	13128
677	27557	13087
678	27598	13047
679	27637	13005
680	27677	12965
681	27719	12924
682	27760	12884
683	27800	12843
684	27837	12801
685	27875	12759
686	27923	12721
687	27965	12682
688	28004	12640
689	28043	12599
690	28083	12558
691	28121	12516
692	28170	12479
693	28209	12438
694	28248	12396
695	28284	12354
696	28327	12314
697	28368	12273
698	28407	12232
699	28447	12191
700	28487	12150
701	28525	12108
702	28566	12068
703	28605	12027
704	28646	11986
705	28686	11945
706	28728	11906
707	28764	11863
708	28805	11822
709	28842	11780
710	28884	11740
711	28926	11700
712	28966	11659
713	29007	11619
714	29047	11578
715	29086	11537
716	29123	11495
717	29165	11455
718	29204	11413
719	29245	11373
720	29286	11332
721	29326	11291
722	29364	11250
723	29406	11210
724	29448	11170
725	29492	11130
726	29529	11088
727	29567	11047
728	29614	11008
729	29658	10969
730	29696	10927
731	29737	10887
732	29776	10846
733	29814	10804
734	29852	10762
735	29894	10722
736	29938	10683
737	29976	10642
738	30016	10601
739	30055	10560
740	30092	10518
741	30143	10481
742	30183	10440
743	30224	10399
744	30267	10360
745	30307	10319
746	30347	10278
747	30388	10237
748	30431	10198
749	30472	10157
750	30514	10117
751	30554	10076
752	30594	10035
