iter	Logloss
0	0.6695107306
1	0.6509064119
2	0.6376339235
3	0.6276834012
4	0.6213448202
5	0.6155303013
6	0.6119330998
7	0.6086659063
8	0.6068163045
9	0.6054428939
10	0.6039549785
11	0.6027723283
12	0.6018037968
13	0.6010150608
14	0.6006558565
15	0.6003852043
16	0.600010963
17	0.5996679553
18	0.5995246625
19	0.5994052594
20	0.5992713935
21	0.5991725373
22	0.5990981533
23	0.599011489
24	0.5987747433
25	0.5986999252
26	0.5983740887
27	0.5983278639
28	0.5982867798
29	0.5979810888
30	0.5978392182
31	0.5977918532
32	0.5977429476
33	0.5976996669
34	0.5976604234
35	0.5976123617
36	0.5974752948
37	0.5974253498
38	0.5973813952
39	0.597345341
40	0.5973109232
41	0.5972741341
42	0.5972286686
43	0.5971926734
44	0.5970545325
45	0.5970113524
46	0.596969293
47	0.5969402939
48	0.5968984352
49	0.5968666927
50	0.5968222205
51	0.59678693
52	0.5967564974
53	0.5967206622
54	0.5966363359
55	0.5966173645
56	0.5965771778
57	0.5965031543
58	0.5964490305
59	0.5964219484
60	0.5964067707
61	0.5963747508
62	0.5963417489
63	0.5963133768
64	0.5962801408
65	0.5962460661
66	0.59621242
67	0.5961852725
68	0.5961448251
69	0.5961095827
70	0.5960744581
71	0.5960413475
72	0.5960175143
73	0.595982572
74	0.5959513926
75	0.5959244721
76	0.59588531
77	0.5958579401
78	0.5958287495
79	0.5958000225
80	0.59576494
81	0.5957385805
82	0.5957075185
83	0.5956696254
84	0.5956412899
85	0.595605466
86	0.5955778096
87	0.5955323029
88	0.5954957974
89	0.5954570535
90	0.5954184163
91	0.5953824582
92	0.5953518056
93	0.5953293413
94	0.5952951251
95	0.5952512678
96	0.5951631665
97	0.5951198094
98	0.5950863613
99	0.5950407817
100	0.5950043467
101	0.5949575578
102	0.5949158891
103	0.5948702433
104	0.594827969
105	0.5947923882
106	0.5947542345
107	0.5947090557
108	0.5946625232
109	0.5946158391
110	0.5945298627
111	0.5944820227
112	0.5944293171
113	0.5943839074
114	0.5943401513
115	0.5943035775
116	0.5942632862
117	0.5942277153
118	0.5941852178
119	0.5941317761
120	0.5941006337
121	0.5940511182
122	0.5940217041
123	0.5939769194
124	0.5939434714
125	0.5939106151
126	0.5938635267
127	0.5938173247
128	0.5937794341
129	0.5937397954
130	0.5937019661
131	0.5936618831
132	0.5936186245
133	0.5935891183
134	0.5935438123
135	0.5935150893
136	0.5934666333
137	0.5934296092
138	0.5933828318
139	0.5933505557
140	0.5933047815
141	0.593258636
142	0.5931300887
143	0.5930856222
144	0.5930405286
145	0.5930043472
146	0.5929582923
147	0.5929221772
148	0.5928840449
149	0.5928424515
150	0.5927940351
151	0.5927545534
152	0.5927150571
153	0.5926902432
154	0.5926480693
155	0.5926098708
156	0.5925732864
157	0.592526838
158	0.5924856762
159	0.5924572633
160	0.5924183729
161	0.592374383
162	0.5923411478
163	0.5923027422
164	0.5922605097
165	0.5922132663
166	0.5921855303
167	0.5921498952
168	0.5921113559
169	0.592072149
170	0.5920324542
171	0.5919891164
172	0.591951494
173	0.5919134456
174	0.5918777506
175	0.5918327587
176	0.5917905811
177	0.59175293
178	0.5917208502
179	0.5916820966
180	0.5916386011
181	0.5916006752
182	0.5915777907
183	0.5915292912
184	0.5914924896
185	0.591447421
186	0.5914131725
187	0.5913768073
188	0.5913357229
189	0.5913150822
190	0.591238496
191	0.5911958778
192	0.5911565714
193	0.5911135955
194	0.5910783345
195	0.5910483576
196	0.5910095976
197	0.5909685458
198	0.5909229079
199	0.590893809
200	0.5908538766
201	0.5908311802
202	0.5907939294
203	0.590754064
204	0.5907045476
205	0.5906609283
206	0.5906343215
207	0.590591113
208	0.5905654538
209	0.5905167157
210	0.5904731242
211	0.5904337196
212	0.5903887744
213	0.5903546278
214	0.5903196139
215	0.5902821281
216	0.5902441773
217	0.5902068143
218	0.5901685372
219	0.5901287948
220	0.5900903161
221	0.5900471888
222	0.5900056241
223	0.5899690524
224	0.5899278195
225	0.589898586
226	0.589860067
227	0.5898185255
228	0.5897819486
229	0.5897449014
230	0.5896940087
231	0.5896520364
232	0.5896075292
233	0.589565996
234	0.5895269384
235	0.5894811037
236	0.5894575929
237	0.5894141163
238	0.5893724359
239	0.5893337866
240	0.5892978511
241	0.5892536732
242	0.5892144122
243	0.5891730894
244	0.5891342892
245	0.5891164213
246	0.5890854857
247	0.5890430609
248	0.5890038722
249	0.5889584084
250	0.5889242856
251	0.5888867533
252	0.5888612382
253	0.588823761
254	0.5887825662
255	0.5887500855
256	0.5887123126
257	0.5886714845
258	0.5886367319
259	0.5886090695
260	0.5885747875
261	0.5885333755
262	0.5884588732
263	0.588421262
264	0.5883832573
265	0.5883480496
266	0.5883087872
267	0.588267179
268	0.5882268741
269	0.588189407
270	0.5881443102
271	0.5880988435
272	0.5880711988
273	0.5879962546
274	0.5879560119
275	0.5879211843
276	0.5878831791
277	0.5878388865
278	0.5877991429
279	0.5877705615
280	0.5877292533
281	0.5876929292
282	0.5876593204
283	0.5876138438
284	0.5875786764
285	0.5875358291
286	0.5874994395
287	0.5874566209
288	0.5874165396
289	0.5873733115
290	0.5873438675
291	0.5873177984
292	0.5872822602
293	0.587248341
294	0.5872263719
295	0.5871899154
296	0.5871547088
297	0.5871125563
298	0.5870790454
299	0.5870436946
300	0.5870114663
301	0.5869696584
302	0.5869235677
303	0.5868853656
304	0.5868448235
305	0.5868235765
306	0.5867811387
307	0.5867505387
308	0.586718522
309	0.5866799649
310	0.5866429599
311	0.5866127573
312	0.5865759266
313	0.5865448733
314	0.5865135137
315	0.5864793208
316	0.5864419006
317	0.5864179989
318	0.5863788177
319	0.5863400233
320	0.5862996003
321	0.5862598169
322	0.5862279442
323	0.5861998691
324	0.5861762186
325	0.5861422989
326	0.5861116644
327	0.5860799273
328	0.5860459001
329	0.5860032281
330	0.5859601716
331	0.5859196938
332	0.5858914329
333	0.5858555539
334	0.5858192576
335	0.5857861134
336	0.5857422836
337	0.5856948662
338	0.5856650698
339	0.5856238986
340	0.5855863301
341	0.5855471796
342	0.5855224315
343	0.5855067884
344	0.5854739792
345	0.5854334689
346	0.5854136299
347	0.5853771102
348	0.5853445122
349	0.5853072695
350	0.5852664114
351	0.5852271681
352	0.585196576
353	0.585156052
354	0.5851180646
355	0.5850807094
356	0.5850561193
357	0.5850175269
358	0.5849796382
359	0.5849470981
360	0.5849084972
361	0.5848833854
362	0.5848428557
363	0.5848093392
364	0.5847821873
365	0.5847521601
